n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
4,2,0,2,0,5,0,8,1,1,3,0,8,2,0,3,0,1,1,0,2,0,1,0,1,1,1,2,0,1,1,0,2,0,13.0,6.0,0.566
26,13,18,19,7,9,0,31,5,8,26,0,31,5,3,25,0,1,1,1,2,1,1,0,1,1,2,7,0,1,1,1,3,0,44.6,27.0,0.474
0,6,4,4,4,2,0,12,0,3,8,4,11,0,0,9,0,0,1,1,2,1,1,0,1,0,2,2,1,1,0,0,1,0,16.5,4.75,0.348
3,6,2,7,1,2,1,5,0,1,9,2,8,3,0,6,1,1,1,1,3,1,1,1,1,0,1,5,1,1,1,0,2,1,14.25,14.143,0.749
0,0,0,3,0,2,0,4,0,0,6,0,5,1,0,5,1,0,0,0,2,0,1,0,1,0,0,3,0,1,1,0,2,1,14.0,8.5,0.535
7,7,8,13,6,5,0,12,1,3,21,2,12,1,0,11,1,1,1,1,3,1,1,0,1,1,2,6,1,1,1,0,2,1,13.625,12.071,0.677
1,2,0,2,0,2,0,4,0,0,4,1,1,0,0,2,0,1,1,0,2,0,1,0,1,0,0,4,1,1,0,0,1,0,9.5,6.5,0.811
7,6,4,6,5,8,0,11,0,3,18,0,2,5,0,19,0,1,1,1,2,1,1,0,1,0,1,5,0,1,1,0,3,0,18.8,10.8,0.583
11,19,11,8,6,14,1,31,1,4,20,15,7,8,0,24,2,1,1,1,2,1,1,1,1,1,3,5,1,1,1,0,3,1,30.333,16.083,0.472
15,10,12,11,5,8,0,13,1,2,17,4,14,4,0,12,4,1,1,1,3,1,1,0,1,1,2,7,1,1,1,0,3,1,18.571,11.857,0.62
15,23,10,13,7,16,1,73,2,4,22,34,19,3,2,29,33,1,1,1,3,1,1,1,1,1,2,7,1,1,1,1,2,1,50.5,11.833,0.447
1,0,1,3,0,1,0,1,1,1,3,0,0,2,0,3,0,1,0,1,2,0,1,0,1,1,1,3,0,0,1,0,2,0,17.0,16.0,0.857
17,24,19,16,14,12,0,37,11,3,30,16,17,5,4,27,1,1,1,1,4,1,1,0,1,1,2,10,1,1,1,1,1,1,27.667,12.194,0.627
0,4,2,2,2,2,0,4,3,1,6,1,3,2,0,5,0,0,1,1,2,1,1,0,1,1,1,4,1,1,1,0,2,0,12.333,8.333,0.814
6,4,11,3,2,3,0,7,0,0,5,3,9,1,0,5,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,1,1,20.0,4.0,0.274
1,2,1,1,0,1,0,2,0,0,2,0,0,0,0,2,0,1,1,1,1,0,1,0,1,0,0,2,0,0,0,0,1,0,12.0,2.0,0.408
0,3,5,1,3,1,0,3,0,2,4,1,1,1,0,6,0,0,1,1,1,1,1,0,1,0,1,3,1,1,1,0,1,0,15.5,4.5,0.508
2,2,3,4,1,3,0,7,4,3,3,0,4,2,0,5,2,1,1,1,1,1,1,0,1,1,1,3,0,1,1,0,1,1,22.5,2.0,0.316
7,3,5,4,1,4,0,16,2,3,7,1,13,3,0,11,0,1,1,1,1,1,1,0,1,1,1,4,1,1,1,0,1,0,26.333,7.667,0.398
4,2,3,2,4,2,1,5,4,0,7,1,2,0,0,9,0,1,1,1,1,1,1,1,1,1,0,2,1,1,0,0,1,0,23.0,3.0,0.209
13,10,11,10,2,9,2,23,5,4,8,0,17,3,0,13,0,1,1,1,3,1,1,1,1,1,2,4,0,1,1,0,1,0,16.0,6.0,0.438
23,21,21,19,10,7,0,35,1,11,30,0,27,10,0,32,8,1,1,1,3,1,1,0,1,1,2,5,0,1,1,0,1,1,23.182,10.364,0.354
32,38,21,27,11,21,0,50,2,8,41,5,41,14,1,34,5,1,1,1,3,1,1,0,1,1,2,6,1,1,1,1,1,1,29.167,12.5,0.34
1,3,2,2,1,1,0,3,0,0,2,7,5,0,0,2,1,1,1,1,1,1,1,0,1,0,0,2,1,1,0,0,1,1,14.5,1.0,0.263
13,13,5,4,3,3,1,16,0,3,13,0,11,2,0,21,1,1,1,1,2,1,1,1,1,0,2,5,0,1,1,0,1,1,18.5,8.333,0.47
8,7,7,3,2,5,0,5,3,0,7,4,7,1,0,8,0,1,1,1,2,1,1,0,1,1,0,3,1,1,1,0,2,0,22.0,10.333,0.435
2,2,1,4,1,0,0,1,3,1,5,0,3,1,1,4,0,1,1,1,2,1,0,0,1,1,1,2,0,1,1,1,2,0,28.0,12.0,0.401
11,15,8,4,8,8,0,21,0,2,18,2,13,2,0,14,4,1,1,1,2,1,1,0,1,0,1,5,1,1,1,0,3,1,32.5,21.25,0.496
5,5,2,1,0,3,0,6,0,0,3,2,5,1,0,3,0,1,1,1,1,0,1,0,1,0,0,3,1,1,1,0,2,0,36.0,23.0,0.471
1,8,18,8,2,3,0,6,9,2,11,4,9,1,0,11,0,1,1,1,3,1,1,0,1,1,2,3,1,1,1,0,1,0,18.6,9.2,0.44
3,1,2,2,3,3,0,4,1,0,2,5,3,0,0,4,0,1,1,1,1,1,1,0,1,1,0,2,1,1,0,0,1,0,33.0,6.0,0.369
11,2,7,6,3,7,1,16,0,5,3,8,3,0,0,4,14,1,1,1,2,1,1,1,1,0,2,2,1,1,0,0,1,1,22.5,10.0,0.298
0,2,0,2,1,0,0,1,2,0,3,1,2,1,0,3,0,0,1,0,1,1,0,0,1,1,0,3,1,1,1,0,1,0,9.0,5.0,0.5
25,30,15,17,10,22,0,49,1,1,17,3,21,7,0,22,1,1,1,1,4,1,1,0,1,1,1,8,1,1,1,0,2,1,80.333,33.667,0.592
3,4,1,7,1,3,0,9,1,3,7,0,5,2,0,6,1,1,1,1,2,1,1,0,1,1,1,3,0,1,1,0,1,1,17.667,6.667,0.389
5,7,1,2,2,4,0,7,1,0,9,1,4,1,0,6,0,1,1,1,1,1,1,0,1,1,0,5,1,1,1,0,2,0,10.0,6.4,0.7
7,11,9,7,2,5,1,20,1,3,10,20,29,3,5,17,4,1,1,1,3,1,1,1,1,1,1,7,1,1,1,1,2,1,29.8,11.4,0.579
1,1,2,1,1,1,0,1,0,0,2,1,2,0,0,2,0,1,1,1,1,1,1,0,1,0,0,2,1,1,0,0,1,0,15.0,9.0,0.548
5,15,8,10,2,9,0,19,1,4,20,0,20,1,1,16,3,1,1,1,2,1,1,0,1,1,2,7,0,1,1,1,1,1,14.778,7.333,0.552
12,18,8,10,16,12,1,39,1,5,17,18,27,1,0,17,6,1,1,1,4,1,1,1,1,1,1,8,1,1,1,0,1,1,26.25,10.688,0.537
1,3,0,1,0,2,0,7,0,0,1,0,4,0,0,3,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,2,0,20.0,5.0,0.474
11,13,7,10,9,5,0,21,2,3,13,0,9,4,0,18,2,1,1,1,4,1,1,0,1,1,1,5,0,1,1,0,2,1,25.4,13.6,0.502
7,15,8,12,5,5,1,22,4,6,29,4,21,3,0,20,1,1,1,1,3,1,1,1,1,1,2,8,1,1,1,0,2,1,14.818,11.909,0.609
2,2,1,0,0,2,0,4,0,1,1,2,2,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,19.0,0.0,0.162
1,1,2,0,1,1,0,4,0,1,2,0,1,1,0,4,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,20.0,4.0,0.316
