n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
0,2,0,0,0,0,0,5,0,1,0,0,5,1,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,18.0,0.0,0.167
2,4,3,2,1,4,0,12,0,2,4,2,2,1,0,8,1,1,1,1,2,1,1,0,1,0,1,3,1,1,1,0,1,1,24.0,9.0,0.408
8,7,1,5,4,4,0,10,0,0,10,6,11,2,0,6,1,1,1,1,1,1,1,0,1,0,0,4,1,1,1,0,2,1,18.5,7.25,0.493
9,9,5,8,7,6,0,18,0,2,12,3,10,2,0,15,2,1,1,1,3,1,1,0,1,0,1,7,1,1,1,0,1,1,15.429,8.286,0.612
5,3,7,7,1,4,1,6,0,2,10,1,6,2,0,5,1,1,1,1,3,1,1,1,1,0,2,4,1,1,1,0,1,1,20.333,24.0,0.634
11,11,7,15,3,8,0,17,0,2,23,1,15,3,0,14,1,1,1,1,3,1,1,0,1,0,1,6,1,1,1,0,3,1,16.375,16.875,0.68
3,12,11,10,3,5,0,10,1,7,28,0,12,1,1,21,3,1,1,1,4,1,1,0,1,1,1,5,0,1,1,1,2,1,14.111,11.889,0.565
3,4,1,7,2,3,1,11,3,2,10,3,9,2,1,7,3,1,1,1,4,1,1,1,1,1,1,5,1,1,1,1,3,1,14.4,9.014,0.75
7,11,10,10,4,7,3,16,0,7,32,0,12,8,0,26,2,1,1,1,2,1,1,1,1,0,2,7,0,1,1,0,2,1,17.222,13.778,0.568
5,8,0,7,1,7,0,16,2,2,6,0,5,1,0,8,1,1,1,0,2,1,1,0,1,1,1,4,0,1,1,0,1,1,23.0,8.0,0.426
5,3,2,5,4,3,0,10,0,8,10,0,9,2,0,15,3,1,1,1,2,1,1,0,1,0,2,3,0,1,1,0,2,1,19.75,14.0,0.477
1,2,1,2,0,2,0,7,0,0,5,0,10,1,0,2,0,1,1,1,2,0,1,0,1,0,0,3,0,1,1,0,1,0,11.0,5.0,0.615
2,9,3,5,3,8,1,14,2,5,15,3,8,3,0,13,2,1,1,1,3,1,1,1,1,1,2,5,1,1,1,0,2,1,19.2,12.2,0.65
20,14,6,12,12,10,0,32,0,6,16,1,10,5,0,23,3,1,1,1,3,1,1,0,1,0,1,4,1,1,1,0,3,1,21.25,7.125,0.325
2,1,4,2,2,0,0,1,0,0,3,0,5,0,0,4,2,1,1,1,2,1,0,0,1,0,0,3,0,1,0,0,1,1,8.667,5.333,0.555
3,3,3,8,4,5,0,22,6,4,10,21,31,2,11,10,6,1,1,1,2,1,1,0,1,1,3,8,1,1,1,1,2,1,23.167,8.875,0.72
13,25,4,13,5,15,1,29,1,8,25,3,19,3,2,26,7,1,1,1,3,1,1,1,1,1,2,7,1,1,1,1,2,1,21.889,13.889,0.504
2,4,2,4,0,4,0,8,0,2,5,0,3,0,0,5,0,1,1,1,2,0,1,0,1,0,2,3,0,1,0,0,2,0,19.5,13.0,0.679
4,9,5,3,3,1,0,4,0,0,9,1,5,1,0,2,1,1,1,1,1,1,1,0,1,0,0,4,1,1,1,0,1,1,24.0,13.0,0.51
14,15,4,8,4,7,0,20,0,4,16,3,17,5,0,16,2,1,1,1,3,1,1,0,1,0,1,6,1,1,1,0,2,1,27.2,13.4,0.606
2,1,2,2,1,0,0,4,0,1,4,9,21,1,3,2,1,1,1,1,2,1,0,0,1,0,1,3,1,1,1,1,1,1,13.25,4.5,0.583
6,6,3,4,5,2,0,16,0,0,5,0,9,1,0,5,0,1,1,1,3,1,1,0,1,0,0,3,0,1,1,0,2,0,15.5,8.5,0.629
